sku,display_title,source_title,title_repair_applied,index_family,source_product_type,source_family,packrift_product_url,source_benchmark_card_url,catalog_case_price_snapshot_usd,pack_quantity,pack_quantity_status,pack_quantity_parse_rule,pack_quantity_evidence,unit_catalog_price_estimate_usd,length_in,width_in,height_in,dimension_source,cube_volume_cu_in,cube_volume_cu_ft,catalog_cost_per_cube_estimate_usd,cost_per_cube_band,family_median_cost_per_cube_usd,family_cost_cube_index,family_index_band,metric_eligible,metric_exclusion_reason,source_row_hash,release_id,benchmark_hash,source_data_generated_at,source_package_date,index_release_date
AB11081K,"11.5 x 8.5 x 1.625 Kraft Apparel Boxes, Recycled - Case of 100","11.5 x 8.5 x 1.625 Kraft Apparel Boxes, Recycled - Case of 100",False,Chipboard cartons,Chipboard Cartons,Boxes,https://packrift.com/products/11-5-x-8-5-x-1-625-kraft-apparel-boxes-recycled-case-of-100,https://packrift.github.io/packaging-price-size-benchmark/skus/ab11081k-56b86513/,67.48,100,parsed,case_of_n,Case of 100,0.6748,11.5,8.5,1.625,metafield,158.8438,0.091923,7.3409,$6–$11.99,13.4836,54.44,below 75,True,,a2614ff590615209462b07a9a4866f9f9c2ffb5eab009d658af111e582012d2c,catalog-control-r1-2026-05-05-worker-a,9694c43912dd0d23,2026-06-01T23:29:11Z,2026-06-04,2026-07-09
AB15092K,"15x9.5x2"" Kraft Apparel Boxes - Recycled Chipboard, Case of 100","15x9.5x2"" Kraft Apparel Boxes - Recycled Chipboard, Case of 100",False,Chipboard cartons,Chipboard Cartons,Boxes,https://packrift.com/products/15x9-5x2-kraft-apparel-boxes-recycled-chipboard-case-of-100,https://packrift.github.io/packaging-price-size-benchmark/skus/ab15092k-5573288e/,89.21,100,parsed,case_of_n,Case of 100,0.8921,15.0,9.5,2.0,metafield,285.0,0.164931,5.4089,$3–$5.99,13.4836,40.12,below 75,True,,8c85a7f695c0c55a3eaf4f636a7ccec3971a04a19ff8e17318c1ff7ce5f653c4,catalog-control-r1-2026-05-05-worker-a,b4d2d2975647ec4c,2026-06-01T23:29:11Z,2026-06-04,2026-07-09
AB17112K,"17x11x2.5"" Kraft Apparel Boxes - Recyclable Chipboard, Case of 50","17x11x2.5"" Kraft Apparel Boxes - Recyclable Chipboard, Case of 50",False,Chipboard cartons,Chipboard Cartons,Boxes,https://packrift.com/products/17x11x2-5-kraft-apparel-boxes-recyclable-chipboard-case-of-50,https://packrift.github.io/packaging-price-size-benchmark/skus/ab17112k-13896b8f/,70.93,50,parsed,case_of_n,Case of 50,1.4186,17.0,11.0,2.5,metafield,467.5,0.270544,5.2435,$3–$5.99,13.4836,38.89,below 75,True,,c22e36e6e29721cf70a7c085ed06ca590a14ff4c5a6552812dd650f479dd03bf,catalog-control-r1-2026-05-05-worker-a,3cfce875c1e79f90,2026-06-01T23:29:11Z,2026-06-04,2026-07-09
AB19123K,19x12x3 Kraft Apparel Boxes Recycled Chipboard - Case of 50,19x12x3 Kraft Apparel Boxes Recycled Chipboard - Case of 50,False,Chipboard cartons,Chipboard Cartons,Boxes,https://packrift.com/products/19x12x3-kraft-apparel-boxes-recycled-chipboard-case-of-50,https://packrift.github.io/packaging-price-size-benchmark/skus/ab19123k-72acc95f/,87.84,50,parsed,case_of_n,Case of 50,1.7568,19.0,12.0,3.0,metafield,684.0,0.395833,4.4382,$3–$5.99,13.4836,32.92,below 75,True,,b0936fec22b409f0188cb8852309a6e3fca655cb22ef7c73835712d3d087ce80,catalog-control-r1-2026-05-05-worker-a,4705ffff2bed8f09,2026-06-01T23:29:11Z,2026-06-04,2026-07-09
AB241474W,"24x14x4 Recycled Chipboard Apparel Boxes - Easy Assembly, Case of 25","24x14x4 Recycled Chipboard Apparel Boxes - Easy Assembly, Case of 25",False,Chipboard cartons,Chipboard Cartons,Boxes,https://packrift.com/products/24x14x4-recycled-chipboard-apparel-boxes-easy-assembly-case-of-25,https://packrift.github.io/packaging-price-size-benchmark/skus/ab241474w-db2be6db/,85.35,25,parsed,case_of_n,Case of 25,3.414,24.0,14.0,4.0,metafield,1344.0,0.777778,4.3894,$3–$5.99,13.4836,32.55,below 75,True,,f6c6cc071fcb0c4d6336e5cecb74c44adbe6bf6332bb6d9ebab312cddb549004,R33-SAFE-MERCHANT-CONTROL-SOURCE-REPAIR-2026-05-15-R01,3575a660368aed9a,2026-06-01T23:29:11Z,2026-06-04,2026-07-09
BC1,"3 3/4 x 2 1/4 x 1 3/4"" Gray Leatherette Set-Up Cartons - Case of 100","3 3/4 x 2 1/4 x 1 3/4"" Gray Leatherette Set-Up Cartons - Case of 100",False,Chipboard cartons,Chipboard Cartons,Boxes,https://packrift.com/products/3-3-4-x-2-1-4-x-1-3-4-gray-leatherette-set-up-cartons-case-of-100,https://packrift.github.io/packaging-price-size-benchmark/skus/bc1-a5929618/,140.33,100,parsed,case_of_n,Case of 100,1.4033,3.75,2.25,1.75,metafield,14.7656,0.008545,164.2262,$50+,13.4836,1217.97,200+,True,,1e726e6d3b1db959870e044dd5b2a8b62b9192683b06fbe7d2283939c6ebb037,catalog-control-r1-2026-05-05-worker-a,fdd8f018e496085a,2026-06-01T23:29:11Z,2026-06-04,2026-07-09
BC2,"7x3.5x2 Gray Leatherette Set-Up Cartons - Pre-Assembled, Case of 100","7x3.5x2 Gray Leatherette Set-Up Cartons - Pre-Assembled, Case of 100",False,Chipboard cartons,Chipboard Cartons,Boxes,https://packrift.com/products/7x3-5x2-gray-leatherette-set-up-cartons-pre-assembled-case-of-100,https://packrift.github.io/packaging-price-size-benchmark/skus/bc2-074e2312/,141.36,100,parsed,case_of_n,Case of 100,1.4136,7.0,3.5,2.0,metafield,49.0,0.028356,49.851,$25–$49.99,13.4836,369.72,200+,True,,8699ba13b101a00a046f39425ceed4ff280525bd8daf40436742d95cd112f9f3,catalog-control-r1-2026-05-05-worker-a,1cc2489c268dfd93,2026-06-01T23:29:11Z,2026-06-04,2026-07-09
BC3,"4 3/4"" x 3 1/2"" x 2"" Gray Leatherette Set-Up Cartons - Pre-Assembled, Case of 100","4 3/4"" x 3 1/2"" x 2"" Gray Leatherette Set-Up Cartons - Pre-Assembled, Case of 100",False,Chipboard cartons,Chipboard Cartons,Boxes,https://packrift.com/products/4-3-4-x-3-1-2-x-2-gray-leatherette-set-up-cartons-pre-assembled-case-of-100,https://packrift.github.io/packaging-price-size-benchmark/skus/bc3-e2807bfc/,138.95,100,parsed,case_of_n,Case of 100,1.3895,4.75,3.5,2.0,metafield,33.25,0.019242,72.2122,$50+,13.4836,535.56,200+,True,,c0439e14e2a32a902463edbedb06a73ce8e9a5e603ba6002668e46066453eb52,catalog-control-r1-2026-05-05-worker-a,13fde70c062d3580,2026-06-01T23:29:11Z,2026-06-04,2026-07-09
BC4,"10x3.5x2 Gray Leatherette Set-Up Cartons - Pre-Assembled, Case of 100","10x3.5x2 Gray Leatherette Set-Up Cartons - Pre-Assembled, Case of 100",False,Chipboard cartons,Chipboard Cartons,Boxes,https://packrift.com/products/10x3-5x2-gray-leatherette-set-up-cartons-pre-assembled-case-of-100,https://packrift.github.io/packaging-price-size-benchmark/skus/bc4-8a98e6e4/,177.3,100,parsed,case_of_n,Case of 100,1.773,10.0,3.5,2.0,metafield,70.0,0.040509,43.7678,$25–$49.99,13.4836,324.6,200+,True,,1acb2bc443e4b3cf6557502eca49f345c9cf6f97d3c95141532cfa3910f827d0,catalog-control-r1-2026-05-05-worker-a,505e566848170cd0,2026-06-01T23:29:11Z,2026-06-04,2026-07-09
BC5,"6x3.5x2 Gray Leatherette Set-Up Cartons - Pre-Assembled, Case of 100","6x3.5x2 Gray Leatherette Set-Up Cartons - Pre-Assembled, Case of 100",False,Chipboard cartons,Chipboard Cartons,Boxes,https://packrift.com/products/6x3-5x2-gray-leatherette-set-up-cartons-pre-assembled-case-of-100,https://packrift.github.io/packaging-price-size-benchmark/skus/bc5-d6aaabe5/,142.31,100,parsed,case_of_n,Case of 100,1.4231,6.0,3.5,2.0,metafield,42.0,0.024306,58.5504,$50+,13.4836,434.24,200+,True,,ca5d37e07890d3210665214f8d4aa7582cb70c8e4272dad146a56c40d5a0cf97,catalog-control-r1-2026-05-05-worker-a,f2a30c26277576c5,2026-06-01T23:29:11Z,2026-06-04,2026-07-09
